FLUKE 289,  V1.41,  0

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
14/01/2026 17:00:51,14/01/2026 17:20:50,0:19:59,0:00:10,330,121,219,Save 1
Max Time,Max,Average,Min,Min Time,Scaling,
14/01/2026 17:01:02,0.4076 A DC,0.3383 A DC,0.2022 A DC,14/01/2026 17:00:53,(none)

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
66,0.3660 A DC,14/01/2026 17:03:46.2,0:00:00.3,14/01/2026 17:03:46.2,0.3660 A DC,0.3520 A DC,14/01/2026 17:03:46.4,0.3401 A DC,Unstable,14/01/2026 17:03:46.5
67,0.3390 A DC,14/01/2026 17:03:46.5,0:00:03.9,14/01/2026 17:03:48.3,0.3492 A DC,0.3381 A DC,14/01/2026 17:03:48.6,0.3293 A DC,Interval,14/01/2026 17:03:50.4
68,0.3344 A DC,14/01/2026 17:03:50.4,0:00:10.1,14/01/2026 17:03:56.2,0.3472 A DC,0.3373 A DC,14/01/2026 17:03:58.1,0.3311 A DC,Interval,14/01/2026 17:04:00.5
69,0.3434 A DC,14/01/2026 17:04:00.5,0:00:02.1,14/01/2026 17:04:01.0,0.3467 A DC,0.3403 A DC,14/01/2026 17:04:02.2,0.3329 A DC,Stable,14/01/2026 17:04:02.6
70,0.3650 A DC,14/01/2026 17:04:02.6,0:00:00.1,14/01/2026 17:04:02.6,0.3650 A DC,0.3650 A DC,14/01/2026 17:04:02.6,0.3650 A DC,Unstable,14/01/2026 17:04:02.7
71,0.3402 A DC,14/01/2026 17:04:02.7,0:00:07.7,14/01/2026 17:04:04.3,0.3519 A DC,0.3380 A DC,14/01/2026 17:04:02.8,0.3301 A DC,Interval,14/01/2026 17:04:10.4
72,0.3395 A DC,14/01/2026 17:04:10.4,0:00:06.8,14/01/2026 17:04:13.8,0.3456 A DC,0.3373 A DC,14/01/2026 17:04:15.1,0.3318 A DC,Stable,14/01/2026 17:04:17.3
73,0.3578 A DC,14/01/2026 17:04:17.3,0:00:02.1,14/01/2026 17:04:17.8,0.3613 A DC,0.3419 A DC,14/01/2026 17:04:18.8,0.3338 A DC,Stable,14/01/2026 17:04:19.4
74,0.3333 A DC,14/01/2026 17:04:19.4,0:00:01.1,14/01/2026 17:04:20.3,0.3407 A DC,0.3348 A DC,14/01/2026 17:04:19.9,0.3324 A DC,Interval,14/01/2026 17:04:20.5
75,0.3317 A DC,14/01/2026 17:04:20.5,0:00:01.1,14/01/2026 17:04:21.3,0.3462 A DC,0.3357 A DC,14/01/2026 17:04:21.1,0.3289 A DC,Stable,14/01/2026 17:04:21.6
