FLUKE 289,  V1.41,  0

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
14/01/2026 14:30:01,14/01/2026 14:50:01,0:20:00,0:00:10,381,121,275,Save 4
Max Time,Max,Average,Min,Min Time,Scaling,
14/01/2026 14:30:04,1.6253 A DC,0.1896 A DC,0.1746 A DC,14/01/2026 14:48:15,(none)

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
69,0.1868 A DC,14/01/2026 14:34:00.5,0:00:09.6,14/01/2026 14:34:03.1,0.2036 A DC,0.1852 A DC,14/01/2026 14:34:04.1,0.1817 A DC,Stable,14/01/2026 14:34:10.1
70,0.8104 A DC,14/01/2026 14:34:10.1,0:00:00.2,14/01/2026 14:34:10.1,0.8104 A DC,0.5190 A DC,14/01/2026 14:34:10.2,0.2275 A DC,Unstable,14/01/2026 14:34:10.3
71,0.1848 A DC,14/01/2026 14:34:10.3,0:00:00.3,14/01/2026 14:34:10.3,0.1848 A DC,0.1834 A DC,14/01/2026 14:34:10.5,0.1825 A DC,Interval,14/01/2026 14:34:10.6
72,0.1822 A DC,14/01/2026 14:34:10.6,0:00:04.5,14/01/2026 14:34:14.8,0.1899 A DC,0.1854 A DC,14/01/2026 14:34:11.3,0.1807 A DC,Stable,14/01/2026 14:34:15.1
73,0.2083 A DC,14/01/2026 14:34:15.1,0:00:00.1,14/01/2026 14:34:15.1,0.2083 A DC,0.2083 A DC,14/01/2026 14:34:15.1,0.2083 A DC,Unstable,14/01/2026 14:34:15.2
74,0.1881 A DC,14/01/2026 14:34:15.2,0:00:04.9,14/01/2026 14:34:18.7,0.1912 A DC,0.1853 A DC,14/01/2026 14:34:17.2,0.1810 A DC,Stable,14/01/2026 14:34:20.1
75,0.2071 A DC,14/01/2026 14:34:20.1,0:00:00.2,14/01/2026 14:34:20.2,0.3409 A DC,0.2740 A DC,14/01/2026 14:34:20.1,0.2071 A DC,Unstable,14/01/2026 14:34:20.3
76,0.1875 A DC,14/01/2026 14:34:20.3,0:00:00.2,14/01/2026 14:34:20.3,0.1875 A DC,0.1854 A DC,14/01/2026 14:34:20.4,0.1833 A DC,Interval,14/01/2026 14:34:20.5
77,0.1835 A DC,14/01/2026 14:34:20.5,0:00:09.8,14/01/2026 14:34:30.2,0.1960 A DC,0.1848 A DC,14/01/2026 14:34:29.4,0.1811 A DC,Stable,14/01/2026 14:34:30.3
78,0.7076 A DC,14/01/2026 14:34:30.3,0:00:00.2,14/01/2026 14:34:30.3,0.7076 A DC,0.4622 A DC,14/01/2026 14:34:30.4,0.2168 A DC,Unstable,14/01/2026 14:34:30.5
79,0.1809 A DC,14/01/2026 14:34:30.5,0:00:00.1,14/01/2026 14:34:30.5,0.1809 A DC,0.1809 A DC,14/01/2026 14:34:30.5,0.1809 A DC,Interval,14/01/2026 14:34:30.6
80,0.1843 A DC,14/01/2026 14:34:30.6,0:00:10.0,14/01/2026 14:34:40.5,0.1991 A DC,0.1839 A DC,14/01/2026 14:34:33.0,0.1794 A DC,Interval,14/01/2026 14:34:40.6
81,0.1892 A DC,14/01/2026 14:34:40.6,0:00:04.9,14/01/2026 14:34:40.9,0.1927 A DC,0.1845 A DC,14/01/2026 14:34:41.7,0.1782 A DC,Stable,14/01/2026 14:34:45.5
82,0.4926 A DC,14/01/2026 14:34:45.5,0:00:00.1,14/01/2026 14:34:45.5,0.4926 A DC,0.4926 A DC,14/01/2026 14:34:45.5,0.4926 A DC,Unstable,14/01/2026 14:34:45.6
83,0.1932 A DC,14/01/2026 14:34:45.6,0:00:04.9,14/01/2026 14:34:45.6,0.1932 A DC,0.1836 A DC,14/01/2026 14:34:46.4,0.1810 A DC,Interval,14/01/2026 14:34:50.5
84,0.1818 A DC,14/01/2026 14:34:50.5,0:00:05.0,14/01/2026 14:34:52.8,0.1891 A DC,0.1852 A DC,14/01/2026 14:34:50.5,0.1818 A DC,Stable,14/01/2026 14:34:55.6
85,0.4462 A DC,14/01/2026 14:34:55.6,0:00:00.2,14/01/2026 14:34:55.6,0.4462 A DC,0.4117 A DC,14/01/2026 14:34:55.7,0.3771 A DC,Unstable,14/01/2026 14:34:55.8
86,0.1897 A DC,14/01/2026 14:34:55.8,0:00:04.8,14/01/2026 14:34:55.8,0.1897 A DC,0.1848 A DC,14/01/2026 14:34:59.3,0.1796 A DC,Interval,14/01/2026 14:35:00.6
